21,2,1332467,1248069,64916,1377533
21,19,1081079,157221,951180,152693
21,2,2041643,323920,1136540,345978
21,5,2022863,1336124,1079517,1544092
21,5,1496423,1300498,416665,1537348
21,2,2063627,1951216,1019571,2252240
21,5,2057807,1622905,1062589,1827481
22,2,3092723,110536,2861856,98063
22,2,2929859,1550584,566757,1828797
22,2,3417707,2186766,1539547,2473636
22,5,3609743,462278,1522862,498325
22,2,2548499,835592,2438018,833967
22,11,3552839,374124,2371203,414552
22,5,2362343,100586,1582450,103603
22,7,3321119,247877,2256734,275963
22,13,2446919,1590988,731817,1896408
22,17,2893439,2760244,2417556,3048931
22,5,3246407,2957985,248801,3439105
23,5,7939847,1634011,922087,1822094
23,11,5505239,440017,3200937,439320
23,2,5043443,3738955,2015598,4321797
23,2,7629683,588830,4321920,574191
23,5,5313767,1132685,3505593,1173229
23,2,5993123,1389739,5595544,1878571
23,7,4855559,4452,4143953,4113
23,2,6745307,2687121,498019,3257581
23,2,6897659,3329648,5839686,4168569
23,5,4888127,2149994,4366897,2525589
23,5,4335407,1608287,2470359,1869763
24,5,9143567,6603419,6821164,7718894
24,5,9161807,8133625,723871,9917372
24,2,16037963,9298701,2378233,11189916
24,2,15925619,2638422,5028794,2912490
24,5,16630463,12324114,13236992,15206730
24,11,13973039,10102770,11445512,12646997
24,2,14759747,12560067,677320,14957316
24,2,16627979,3137568,11783361,3727460
24,5,13078487,12900689,11741700,18262064
24,7,16714079,16565328,13026407,21807290
24,2,9634883,6776424,6349961,8108130
25,5,27655487,15188336,3041978,19420827
25,5,33280823,11651131,6774265,14270504
25,2,21547907,17488691,10269442,21126414
25,2,23842139,20835410,2992935,25541448
25,13,29129999,23492444,23155866,30391558
25,2,19335347,10892783,6736414,13241923
25,11,24400799,13984191,1754755,17546572
25,5,23359943,17555980,2356748,21623414
25,2,27891947,19530717,9641529,23949552
25,2,26053667,4042093,15210340,4807092
25,2,21253019,15866715,18503944,18918380
26,2,49541267,20817509,22690588,25806703
26,2,62570843,16962599,32366959,20601909
26,2,53493899,43183426,11623808,55200585
26,2,53157323,8004468,42937058,9212409
26,2,48586523,24132876,32235592,29955140
26,5,43774463,7724845,39945585,9090857
26,23,38056079,21987513,33050704,27675760
26,2,46665779,24759326,19705797,30212911
26,2,50291699,13945848,7992225,16934616
26,2,36834299,27520067,5274906,34220260
26,5,64778423,47314815,4592817,60993643
27,2,101386667,306297,46101123,329128
27,2,118237403,95355608,53074640,123588571
27,11,93244199,1786524,36912468,2018441
27,5,81255407,58595604,43452825,75330148
27,17,113688119,96366576,15104972,141578130
